Team,Player,PlayerUrl,TotalMatches,TotalPoints,TotalRaidPoints,TotalDefencePoints,TotalRaids,SuccRaids,UnSuccRaids,EmptyRaids,Tackles,SuccTackles,UnSuccTackles,GreenCards,RedCards,YellowCards
DabangDelhi,Suresu Kumar,/players/173-suresu-kumar-playerprofile,18,33,29,4,74,24,26,24,20,4,16,0,0,0
DabangDelhi,Bajirao Hodage,/players/164-bajirao-hodage-playerprofile,43,83,0,83,5,0,0,5,190,78,112,5,0,0
DabangDelhi,Tushar Balaram Bhoir,/players/792-tushar-bhoir-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DabangDelhi,Nilesh Shinde,/players/73-nilesh-shinde-playerprofile,54,129,14,115,61,9,11,41,229,102,127,6,0,0
DabangDelhi,Satpal,/players/773-satpal-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DabangDelhi,Viraj Vishnu Landge,/players/784-viraj-vishnu-landge-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DabangDelhi,Sunil,/players/207-sunil-playerprofile,34,71,4,67,9,2,2,5,142,62,80,3,0,2
DabangDelhi,Rupesh Tomar,/players/97-rupesh-tomar-playerprofile,14,18,5,13,10,4,4,2,40,10,30,0,0,0
DabangDelhi,Tapas Pal,/players/661-tapas-pal-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DabangDelhi,Yatharth,/players/736-yatharth-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaipurPinkPanthers,Ajit Singh,/players/648-ajit-singh-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaipurPinkPanthers,Jasvir Singh,/players/52-jasvir-singh-playerprofile,46,300,277,23,695,216,137,342,52,18,34,10,0,1
JaipurPinkPanthers,Pawan Kumar Kadian,/players/156-pawan-kumar-playerprofile,34,87,85,2,220,60,61,99,17,2,15,1,0,0
JaipurPinkPanthers,Rahul Choudhary,/players/738-rahul-choudhary-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaipurPinkPanthers,Selvamani K,/players/264-selvamani-k-playerprofile,31,98,97,1,222,72,39,111,16,1,15,0,0,0
JaipurPinkPanthers,Somvir Shekhar,/players/109-somvir-shekhar-playerprofile,39,57,1,56,3,1,1,1,154,53,101,4,0,0
JaipurPinkPanthers,Vignesh B,/players/590-vignesh-b-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaipurPinkPanthers,Manoj Dhull,/players/233-manoj-dhull-playerprofile,10,14,0,14,0,0,0,0,34,14,20,1,0,0
JaipurPinkPanthers,Ravinder Kumar,/players/384-ravinder-kumar-playerprofile,3,0,0,0,0,0,0,0,4,0,4,0,0,0
JaipurPinkPanthers,Jae Min Lee,/players/516-jae-min-lee-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaipurPinkPanthers,Abhishek N,/players/721-abhishek-n-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaipurPinkPanthers,Dong Gyu Kim,/players/515-dong-gyu-kim-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaipurPinkPanthers,Siddharth,/players/611-siddharth-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PatnaPirates,Pardeep Narwal,/players/197-pardeep-narwal-playerprofile,38,263,256,7,488,190,120,178,21,6,15,1,0,0
PatnaPirates,Vijay,/players/745-vijay-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PatnaPirates,Vikash Jaglan,/players/121-vikash-jaglan-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PatnaPirates,Vinod Kumar,/players/764-vinod-kumar-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PatnaPirates,Vishnu Uthaman,/players/580-vishnu-uthaman-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PatnaPirates,Md. Zakir Hossain,/players/342-zakir-hossain-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PatnaPirates,Vishal Mane,/players/123-vishal-mane-playerprofile,57,93,0,93,1,0,1,0,219,89,130,2,0,0
PatnaPirates,Virender Singh,/players/766-virender-singh-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PatnaPirates,Sachin Shingade,/players/165-sachin-shingade-playerprofile,30,72,0,72,1,0,1,0,146,65,81,0,0,0
PatnaPirates,Jaideep,/players/579-jaideep-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PatnaPirates,Arvind Kumar,/players/632-arvind-kumar-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PatnaPirates,Jawahar,/players/390-jawahar-playerprofile,6,2,0,2,2,0,2,0,12,2,10,0,0,0
PatnaPirates,Mohammad Maghsoudlou,/players/200-mohammad-maghsoudlou-playerprofile,18,15,14,1,50,9,32,9,2,1,1,0,0,0
PuneriPaltan,Akshay Jadhav,/players/365-akshay-jadhav-playerprofile,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PuneriPaltan,Monu,/players/795-monu-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PuneriPaltan,Rohit Kumar Choudary,/players/217-rohit-kumar-choudary-playerprofile,21,80,77,3,226,52,61,113,25,3,22,3,0,0
PuneriPaltan,Suresh Kumar,/players/771-suresh-kumar-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PuneriPaltan,Umesh Mhatre,/players/272-umesh-mhatre-playerprofile,8,27,18,9,56,15,9,32,18,7,11,1,0,0
PuneriPaltan,Dharmaraj Cheralathan,/players/42-dharmaraj-cheralathan-playerprofile,59,191,40,151,121,28,8,85,258,134,124,2,0,0
PuneriPaltan,Ziaur Rahman,/players/536-ziaur-rahman-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PuneriPaltan,Girish Maruti Ernak,/players/161-girish-maruti-ernak-playerprofile,48,111,3,108,41,2,2,37,259,104,155,4,0,0
PuneriPaltan,Narender Hooda,/players/629-narender-hooda-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PuneriPaltan,Sandeep Narwal,/players/142-sandeep-narwal-playerprofile,62,332,171,161,463,134,71,258,290,148,142,10,0,2
TeluguTitans,Athul M S,/players/376-athul-m-s-playerprofile,4,8,8,0,14,6,6,2,1,0,1,0,0,0
TeluguTitans,Mohsen Maghsoudloujafari,/players/567-mohsen-maghsoudlou-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TeluguTitans,Munish,/players/774-munish-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TeluguTitans,Nilesh Salunke,/players/293-nilesh-salunke-playerprofile,22,72,71,1,159,52,39,68,13,1,12,0,0,0
TeluguTitans,Rahul Chaudhari,/players/81-rahul-chaudhari-playerprofile,57,517,482,35,957,385,161,411,105,31,74,6,0,1
TeluguTitans,Vikas Kumar,/players/760-vikas-kumar-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TeluguTitans,Vinoth Kumar,/players/172-vinoth-kumar-playerprofile,12,24,24,0,67,20,27,20,3,0,3,0,0,0
TeluguTitans,Farhad Rahimi Milaghardan,/players/482-farhad-milaghardan-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TeluguTitans,Rohit Rana,/players/96-rohit-rana-playerprofile,42,76,2,74,15,1,5,9,174,70,104,0,0,1
TeluguTitans,Amit Singh Chhillar,/players/28-amit-singh-chhillar-playerprofile,34,60,1,59,6,1,1,4,153,55,98,2,0,0
TeluguTitans,Rakesh Kumar,/players/88-rakesh-kumar-playerprofile,45,237,179,58,450,159,68,223,118,53,65,5,0,0
TeluguTitans,Vishal Bharadwaj,/players/358-vishal-bharadwaj-playerprofile,2,7,1,6,1,1,0,0,15,6,9,0,0,0
UMumba,Darsan,/players/324-darsan-playerprofile,2,2,0,2,1,0,1,0,8,2,6,0,0,0
UMumba,Kashiling Adake,/players/58-kashiling-adake-playerprofile,52,406,380,26,803,293,184,326,68,22,46,6,0,0
UMumba,Mohan Raman G,/players/689-mohan-raman-g-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMumba,Shabeer Bappu,/players/105-shabeer-bappu-playerprofile,42,162,149,13,410,117,66,227,42,8,34,1,0,0
UMumba,Deepak Yadav,/players/694-deepak-yadav-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMumba,Surender Singh,/players/733-surender-singh-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMumba,Joginder Singh Narwal,/players/194-joginder-narwal-playerprofile,30,68,4,64,6,3,0,3,127,62,65,4,0,2
UMumba,Hadi Oshtorak,/players/249-hadi-oshtorak-playerprofile,21,38,1,37,3,0,3,0,74,32,42,0,0,0
UMumba,Kuldeep Singh,/players/252-kuldeep-singh-playerprofile,39,125,43,82,192,32,45,115,152,70,82,8,0,0
UMumba,Shiv Om,/players/610-shiv-om-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMumba,Yong Joo Ok,/players/513-yong-joo-ok-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
